Reason;File;Name;Auth;Year;;
Anton;velentzis2017.pdf;How will transitioning from cytology to HPV testing change the balance between the benefits and harms of cervical cancer screening? Estimates of the impact on cervical cancer, treatment rates and adverse obstetric outcomes in Australia, a high vaccination coverage country;Louiza S Velentzis, Michael Caruana, Kate T Simms, Jie-Bin Lew, Ju-Fang Shi, Marion Saville, Megan A Smith, Sarah J Lord, Jeffrey Tan, Deborah Bateson, Michael Quinn, Karen Canfell;2017;;
Anton;Draisma2009.pdf;lead time and overdiagnosis in prostate-specific antigen screening importance of methods and context;Gerrit Draisma , Ruth Etzioni , Alex Tsodikov , Angela Mariotto , Elisabeth Wever , Roman Gulati , Eric Feuer ,Harry de Koning;2009;;
Anton;Campos2016.pdf;cost-effectiveness of an hpv self-collection campaign in uganda comparing models for delivery of cervical cancer screening in a low-income setting;Nicole G Campos, Vivien Tsu, Jose Jeronimo, Denise Njama-Meya, Mercy Mvundura and Jane J Kim;2016;;
Anton3;montz2001.pdf;impact of increasing papanicolaou test sensitivity and compliance a modeled cost and outcomes analysis;F. J. Montz, Fredric L. Farber, Robert E. Bristow, Terri Cornelison;2001;;
Anton;hsieh2002.pdf;assessing chronic disease progression using non-homogeneous exponential regression markov models an illustration using a selective breast cancer screening in taiwan;Hsin-Ju Hsieh, Tony Hsiu-Hsi Chen, Shu-Hui Chang;2002;;
Anton;feuer2002.pdf;modeling the impact of the decline in distant stage disease on prostate carcinoma mortality rates;Eric J Feuer, Angela Mariotto, Ray Merrill;2002;;
Anton;draisma2003.pdf;lead times and overdetection due to prostate-specific antigen screening estimates from the european randomized study of screening for prostate cancer;Gerrit Draisma, Rob Boer, Suzie J Otto, Ingrid W van der Cruijsen,Ronald A M Damhuis, Fritz H Schroder, Harry J de Koning;2003;;
Anton;yen2003.pdf;quantifying the potential problem of overdiagnosis of ductal carcinoma in situ in breast cancer screening;M-F Yena, L Tabar, B Vitak, RA Smithe, H-H Chenf, SW Duffy;2003;;
Anton;goldie2004.pdf;projected clinical benefits and cost-effectiveness of a human papillomavirus 1618 vaccine;Sue J Goldie, Michele Kohli, Daniel Grima, Milton C Weinstein,Thomas C Wright, F Xavier Bosch, Eduardo Franco;2004;;
Anton;pinsky2004.pdf;An Early- and Late-Stage Convolution Model for Disease Natural History;P F Pinsky;2004;; 
Anton;barratt2005.pdf;model of outcomes of screening mammography information to support informed choices;Alexandra Barratt, Kirsten Howard, Les Irwig, Glenn Salkeld, Nehmat Houssami;2005;;
Anton;manser2005.pdf;cost-effectiveness analysis of screening for lung cancer with low dose spiral ct computed tomography in the australian setting;Renee Manser, Andrew Dalton, Rob Carter, Graham Byrnes,Mark Elwood, Donald A Campbell;2005;;
Anton;haug2005.pdf;a simulation model for colorectal cancer screening potential of stool tests with various performance characteristics compared with screening colonoscopy;Ulrike Haug, Hermann Brenner;2005;;
Anton;siebert2005.pdf;the german cervical cancer screening model development and validation of a decision-analytic model for cervical cancer screening in germany;Uwe Siebert, Gaby Sroczynski, Peter Hillemanns, Jutta Engel,Roland Stabenow, Christa Stegmaier, Kerstin Voigt,Bernhard Gibis, Dieter Ho lzel, Sue J Goldie;2005;;
Anton;groenewoud2006.pdf;cost-effectiveness of different reading and referral strategies in mammography screening in the netherlands;J H Groenewoud, J D M Otten, J Fracheboud, G Draisma, B M van Ineveld, R Holland, A L M Verbeek, H J de Koning;2006;;
Anton;plevritis2006.pdf;a natural history model of stage progression applied to breast cancer;Sylvia K Plevritis, Peter Salzman, Bronislava M Sigal, Peter W Glynn;2006;;
Anton;stout2006.pdf;retrospective cost-effectiveness analysis of screening mammography;Natasha K Stout, Marjorie A Rosenberg, Amy Trentham-Dietz, Maureen A Smith,Stephen M Robinson, Dennis G Fryback;2006;;
Anton;blanks2008.pdf;the development of the referral outcome diagram and an analysis of laboratory cancer detection rates in the english nhs cervical screening programme--is there an optimum level of detection of cin 1 and cin 2 lesions;R G Blanks;2008;;
Anton;weedonfekjr2008.pdf;breast cancer tumor growth estimated through mammography screening data;Harald Weedon-Fekjr, Bo H Lindqvist, Lars J Vatten, Odd O Aalen, Steinar Tretli,;2008;;
Anton;bergeron2008.pdf;cost-effectiveness analysis of the introduction of a quadrivalent human papillomavirus vaccine in france;C Bergeron, N Largeron, R McAllister, P Mathevet, V Remy;2008;;
Anton;mcmahon2008.pdf;Adopting Helical CT Screening for Lung Cancer Potential Health Consequences During a 15-Year Period;Pamela M McMahon,Chung Yin Kong, Milton C Weinstein, Angela C Tramontano, Lauren E Cipriano, Bruce E Johnson, Jane C Weeks, G Scott Gazelle;2008;;
Anton;reynalesshigematsu2009.pdf;cost-effectiveness analysis of a quadrivalent human papilloma virus vaccine in mexico;Luz Myriam Reynales-Shigematsu, Eliane R Rodrigues, Eduardo Lazcano-Ponce;2009;;
Anton;anonychuk2009.pdf;a cost-utility analysis of cervical cancer vaccination in preadolescent canadian females;Andrea M Anonychuk, Chris T Bauch, Maraki Fikre Merid, Georges Van Kriekinge, Nadia Demarteau;2009;;
Anton;vijayaraghavan2009.pdf;cost-effectiveness of high-risk hpv dna testing for cervical cancer screening in south africa;Arthi Vijayaraghavan, Molly Efrusy, Gerhard Lindeque, Greta Dreyer, Christopher Santas;2009;;
Anton;goldwasser2009.pdf;modeling excess lung cancer risk among screened arm participants in the mayo lung project;Deborah L Goldwasser,Marek Kimmel, ;2009;;
Anton;yen2009.pdf;estimating the long-term clinical impact of cervical cancer vaccination in taiwan;Ming-Shien Yen, Shan-Lin You, Nicole Ferko, Donna Debicki, Yi-Chen Chen, Cheng-Yang Chou;2009;;
Anton;berg2009.pdf;a discrete event simulation model to evaluate operational performance of a colonoscopy suite;Bjorn Berg, Brian Denton,Heidi Nelson,Hari Balasubramanian,Ahmed Rahman, Angela Bailey, Keith Lindor;2009;;
Anton;wever2010.pdf;prostate-specific antigen screening in the united states vs in the european randomized study of screening for prostate cancer-rotterdam;Elisabeth M Wever, Gerrit Draisma, Eveline A M Heijnsdijk, Monique J Roobol, Rob Boer, Suzie J Otto, Harry J de Koning;2010;;
Anton;berkhof2010.pdf;the health and economic effects of hpv dna screening in the netherlands;Johannes Berkhof, Veerle M Coupe, Johannes A Bogaards, Folkert J van Kemenade,Theo J Helmerhorst, Peter J Snijders, Chris J Meijer;2010;;
