mark;title;abstract;journal;authors;pubmed_keywords;;;;;;;;;;;;;;
0;Women at a dangerous intersection: diagnosis and treatment of depression and related disorders in patients with breast cancer.;Abstract Breast cancer is a relatively common diagnosis for American women and depressive symptoms occur in many women with breast cancer. Identification of women with breast cancer and concomitant depressive symptoms and mood disorders requires particular attention by heath care providers, and may be aided by the administration of a variety of diagnostic and/or screening tools. Insomnia is also a significant problem for women with breast cancer at various stages of diagnosis and treatment, including after remission. Although many studies on the treatment of depression in women with breast cancer have been done, and the data do point to the efficacy of several antidepressants in this population, there are no data to support the widely held hypothesis that treatment of depression in patients with breast cancer may positively affect morbidity and mortality. Breast cancer treatments may give rise to depressive symptoms and this should be considered in the approach to pharmacotherapy. Several psychotherapeutic modalities offer relief of the symptoms and syndromes of depression in breast cancer. Future research can answer the question of which approach is most appropriate for which patients, and whether therapy can improve a variety of health outcomes and survival for women with breast cancer.;Psychiatr Clin North Am. 2010 Jun.33(2):409-22. doi: 10.1016/j.psc.2010.01.005.;Weinberger T1, Forrester A, Markov D, Chism K, Kunkel EJ.;Review,Adult,Affect/drug effects,Antidepressive Agents/therapeutic use,Antineoplastic Agents, Hormonal/adverse effects,Breast Neoplasms/drug therapy,Breast Neoplasms/psychology*,Depression/diagnosis*,Depression/drug therapy,Depression/etiology,Depression/therapy*,Female,Humans,Middle Aged,Psychotherapy/methods,Sleep Wake Disorders/diagnosis*,Sleep Wake Disorders/drug therapy,Sleep Wake Disorders/etiology,Sleep Wake Disorders/therapy*,Time Factors,Treatment Outcome,Antidepressive Agents,Antineoplastic Agents, Hormonal;;;;;;;;;;;;;;
1;Why worry about awareness in choice problems? Econometric analysis of screening for cervical cancer.;Abstract The decision to undertake a screening test is conditional upon awareness of screening. From an econometric perspective there is a potential selection problem, if no distinction is made between aware and unaware non-screeners. This paper explores this problem through analysis of the determinants of cervical screening in Australia. Cervical cancer is one of the most preventable and curable forms of cancer. Since 1991 there has been a concerted effort in Australia to recommend and encourage women to have Pap smears every two years. The success of this program can be partly gauged by exploring the determinants of screening for cervical cancer. Using unit record data from the 1995 National Health Survey, an econometric model is developed for whether women have ever screened or not. A proportion of women in the sample contend that they have never heard of a Pap test. The analysis characterizes this group of women and accounts for their presence in the modelling. The paper demonstrates failing to model awareness can result in inconsistent parameter estimates even when the degree of censoring in the sample is relatively small.;Health Econ. 2006 Jan.15(1):33-47.;Belkar R1, Fiebig DG, Haas M, Viney R.;Research Support, Non-U.S. Gov't,Adolescent,Adult,Aged,Aged, 80 and over,Australia,Choice Behavior,Female,Health Care Surveys,Health Knowledge, Attitudes, Practice*,Humans,Mass Screening/economics,Mass Screening/methods,Mass Screening/utilization*,Middle Aged,Models, Econometric*,National Health Programs,Papanicolaou Test*,Patient Acceptance of Health Care*,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/economics,Vaginal Smears/economics,Vaginal Smears/utilization*;;;;;;;;;;;;;;
0;Why use Markov simulation models for estimating the effect of cancer screening policies when randomised controlled trials provide better evidence?;Comment,Letter,Breast Neoplasms/diagnosis*,Humans,Markov Chains*,Models, Statistical*;;;Comment,Letter,Breast Neoplasms/diagnosis*,Humans,Markov Chains*,Models, Statistical*;;;;;;;;;;;;;;
0;Why did the breast cancer lymph node status distribution improve in Denmark in the pre-mammography screening period of 1978-1994?;Abstract BACKGROUND: Danish breast cancer patients diagnosed in 1978-1994 experienced a trend over time towards a more favourable distribution of lymph node status at time of diagnosis, which was not due to mammography screening. We investigated how this trend could be explained by patient characteristics at diagnosis: age (biological processes), calendar period (e.g. environmental changes), birth cohort (living conditions over a life time), post-menopausal status (a predictor of less favourable nodal status), and tumour diameter (a marker of detection time). MATERIAL AND METHODS: The data set consisted of 22 955 patients aged 30-69 years at time of diagnosis with known lymph node status, known tumour diameter, known menopausal status, and clinically detected tumours, available from the Danish Breast Cancer Cooperative Group (DBCG). Age, period, cohort, menopausal status, and tumour diameter were used as predictors in generalised linear models with either node-positive status (at least one of the excised lymph nodes being tumour-positive) or severely node-positive status (at least half of the excised lymph nodes being tumour-positive) as outcomes. Lymph node status was assessed both empirically and estimated using an EM algorithm in order to reduce misclassification. RESULTS AND DISCUSSION: We found that the improved lymph node status distribution was most likely a period effect due to a combination of earlier detection of clinical tumours, explaining most of the trend in node-positive breast cancer and half of the trend in severely node-positive breast cancer, and some unknown factor affecting lymph node status but not necessarily other tumour characteristics.;Acta Oncol. 2010 Apr.49(3):313-21. doi: 10.3109/02841861003602074.;Rostgaard K1, Vaeth M, Rootzén H, Lynge E.;Research Support, Non-U.S. Gov't,Adult,Age Factors,Aged,Breast Neoplasms/epidemiology*,Breast Neoplasms/mortality,Breast Neoplasms/pathology*,Denmark/epidemiology,Female,Humans,Incidence,Linear Models,Lymph Nodes/pathology*,Lymphatic Metastasis,Mammography,Mass Screening*/methods,Menopause,Middle Aged,Odds Ratio,Predictive Value of Tests,Prognosis,Risk Assessment,Risk Factors,Time Factors;;;;;;;;;;;;;;
0;When should active surveillance for prostate cancer stop if no progression is detected?;Abstract BACKGROUND: A significant proportion of screen-detected men with prostate cancer may be overdiagnosed. Active Surveillance (AS) has emerged as a way to mitigate this problem, by delaying treatment of men, who are at low-risk until this becomes necessary. However, it is not known after how much time or biopsy rounds should patients stop AS and transition to conservative management (CM), if no progression is detected. METHODS: We used a microsimulation model with natural history of prostate cancer based on ERSPC and SEER data. We modeled referral to treatment while in AS, based on Johns Hopkins treatment-free survival data. We projected lifetime costs and effects of AS (and radical treatment, if progression is detected) under different biopsy follow-up schedules compared to CM, where radical treatment only occurs when men would be clinically diagnosed in absence of screening. RESULTS: For men with low-risk disease in younger age groups (55-65), AS is cost-effective for up to 7 yearly biopsy rounds. For men older than 65, even one biopsy round results in quality adjusted life years (QALYs) lost, though it may result in QALYs gained for men without previous screening. For men with intermediate-risk disease AS is cost-effective even for men in 65-75 age group. CONCLUSIONS: The benefit of AS when compared to CM is strongly dependent on life expectancy and disease risk. Clinicians should take this into account when selecting men to AS, deciding on biopsy frequency and when to stop AS surveillance rounds and transition to CM. � 2017 Wiley Periodicals, Inc.;Prostate. 2017 Jun.77(9):962-969. doi: 10.1002/pros.23352. Epub 2017 Apr 17.;de Carvalho TM1, Heijnsdijk EAM1, de Koning HJ1.;Age Factors,Aged,Biopsy/methods,Biopsy/statistics & numerical data,Clinical Decision-Making,Conservative Treatment*/methods,Conservative Treatment*/statistics & numerical data,Disease Progression,Disease-Free Survival,Humans,Life Expectancy,Male,Middle Aged,Models, Theoretical,Netherlands/epidemiology,Prostatic Neoplasms*/epidemiology,Prostatic Neoplasms*/pathology,Prostatic Neoplasms*/therapy,Risk Assessment/methods*;;;;;;;;;;;;;;
0;What might explain deprivation-specific differences in the excess hazard of breast cancer death amongst screen-detected women? Analysis of patients diagnosed in the West Midlands region of England from 1989 to 2011.;Abstract BACKGROUND: Breast cancer survival is higher in less deprived women, even amongst women whose tumor was screen-detected, but reasons behind this have not been comprehensively investigated. METHODS: The excess hazard of breast cancer death in 20,265 women diagnosed with breast cancer, followed up to 2012, was estimated for screen-detected and non-screen-detected women, comparing more deprived to less deprived women using flexible parametric models. Models were adjusted for individual and tumor factors, treatment received and comorbidity. For screen-detected women, estimates were also corrected for lead-time and overdiagnosis. RESULTS: The excess hazard ratio (EHR) of breast cancer death in the most deprived group, adjusted only for age and year of diagnosis, was twice that of the least deprived among screen-detected women (EHR=2.12, 95%CI 1.48-2.76) and 64% higher among non-screen-detected women (EHR=1.64, 95%CI 1.41-1.87). Adjustment for stage at diagnosis lowered these estimates by 25%. Further adjustment had little extra impact. In the final models, the excess hazard for the most deprived women was 54% higher (EHR=1.54, 95%CI 1.10-1.98) among screen-detected women and 39% higher (EHR=1.39, 95%CI 1.20-1.59) among non-screen-detected women. CONCLUSION: A persistent socio-economic gradient in breast cancer-related death exists in this cohort, even for screen-detected women. The impact of differential lifestyles, management and treatment warrant further investigation.;Oncotarget. 2016 Aug 2.7(31):49939-49947. doi: 10.18632/oncotarget.10255.;Morris M1, Woods LM1, Rachet B1.;Aged,Breast Neoplasms/epidemiology*,Breast Neoplasms/mortality*,Cohort Studies,Comorbidity,Early Detection of Cancer,England/epidemiology,Female,Humans,Mass Screening/methods,Medical Overuse,Middle Aged,Proportional Hazards Models,Sensitivity and Specificity,Social Class,Socioeconomic Factors,Survival Analysis,11700/Cancer Research UK/United Kingdom;;;;;;;;;;;;;;
1;What happens when organization of cervical cancer screening is delayed or stopped?;Abstract OBJECTIVES: Many countries rely on opportunistic screening, and data on its effectiveness are asked for. We assessed the impact on cervical cancer incidence and mortality of opportunistic screening compared with organized screening. SETTING: Women aged 30-64 in Denmark, 1973-2002. 16 counties with different screening strategies. METHODS: Cumulative incidence and mortality rates for women aged 30-64 by county. Poisson regression of incidence and mortality rates by age, calendar period and county. Interaction between type of county and calendar period measured the difference between counties with screening organized early versus late in time. RESULTS: A statistically significant interaction was found between type of county and calendar period (P=0.0151) for cervical cancer incidence, but not for cervical cancer mortality (P=0.9593). The interaction terms were not statistically significant when a comparison was made between a single county in which an organized programme was interrupted for an 11-year period and other counties. There was, however, a statistically significant increased incidence and mortality rates at the restart of the organized programme. CONCLUSION: Organization of cervical cancer screening accelerated the decline in cervical cancer incidence, compared with the trend in areas relying on opportunistic screening. No impact could be measured of the screening organization on cervical cancer mortality. A decade long stop of an organized screening programme was associated with a temporary increase in cervical cancer incidence and mortality. Coverage remains a key quality indicator in the ongoing modernization of screening technology.;J Med Screen. 2006.13(1):41-6.;Lynge E1, Clausen LB, Guignard R, Poll P.;Research Support, Non-U.S. Gov't,Adult,Age Factors,Female,Humans,Incidence,Mass Screening/methods,Middle Aged,Models, Statistical,Precancerous Conditions,Risk Factors,Risk Management,Time Factors,Uterine Cervical Neoplasms/diagnosis*,Uterine Cervical Neoplasms/pathology*;;;;;;;;;;;;;;
0;Vasectomy and risk of aggressive prostate cancer: a 24-year follow-up study.;Abstract PURPOSE: Conflicting reports remain regarding the association between vasectomy, a common form of male contraception in the United States, and prostate cancer risk. We examined prospectively this association with extended follow-up and an emphasis on advanced and lethal disease. PATIENTS AND METHODS: Among 49,405 U.S. men in the Health Professionals Follow-Up Study, age 40 to 75 years at baseline in 1986, 6,023 patients with prostate cancer were diagnosed during the follow-up to 2010, including 811 lethal cases. In total, 12,321 men (25%) had vasectomies. We used Cox proportional hazards models to estimate the relative risk (RR) and 95% CIs of total, advanced, high-grade, and lethal disease, with adjustment for a variety of possible confounders. RESULTS: Vasectomy was associated with a small increased risk of prostate cancer overall (RR, 1.10. 95% CI, 1.04 to 1.17). Risk was elevated for high-grade (Gleason score 8 to 10. RR, 1.22. 95% CI, 1.03 to 1.45) and lethal disease (death or distant metastasis. RR, 1.19. 95% CI, 1.00 to 1.43). Among a subcohort of men receiving regular prostate-specific antigen screening, the association with lethal cancer was stronger (RR, 1.56. 95% CI, 1.03 to 2.36). Vasectomy was not associated with the risk of low-grade or localized disease. Additional analyses suggested that the associations were not driven by differences in sex hormone levels, sexually transmitted infections, or cancer treatment. CONCLUSION: Our data support the hypothesis that vasectomy is associated with a modest increased incidence of lethal prostate cancer. The results do not appear to be due to detection bias, and confounding by infections or cancer treatment is unlikely.;J Clin Oncol. 2014 Sep 20.32(27):3033-8.;Siddiqui MM, Wilson KM, Epstein MM, Rider JR, Martin NE, Stampfer MJ, Giovannucci EL, Mucci LA.;Research Support, N.I.H., Extramural,Adult,Aged,Follow-Up Studies,Humans,Incidence,Male,Middle Aged,Proportional Hazards Models,Prospective Studies,Prostatic Neoplasms/epidemiology*,Prostatic Neoplasms/mortality,Prostatic Neoplasms/pathology*,Risk Assessment,Risk Factors,United States/epidemiology,Vasectomy/adverse effects*,CA133891/CA/NCI NIH HHS/United States,UM1CA167552-01/CA/NCI NIH HHS/United States,P01 CA055075/CA/NCI NIH HHS/United States,CA141298/CA/NCI NIH HHS/United States,T32 CA09001/CA/NCI NIH HHS/United States,R01 CA133891/CA/NCI NIH HHS/United States,T32 CA009001/CA/NCI NIH HHS/United States,UM1 CA167552/CA/NCI NIH HHS/United States,R01 CA141298/CA/NCI NIH HHS/United States;;;;;;;;;;;;;;
0;Variations in survival for invasive cervical cancer among European women, 1978-89. EUROCARE Working Group.;Abstract OBJECTIVES: To analyze cervical cancer survival trends in 10 European countries using models that estimate the proportion of cured patients (having the same life expectancy as the general population) and the survival of fatal cases (who die from cervical cancer). METHODS: We considered 40,906 cases diagnosed over 12 years (1978-89) collected from cancer registries participating in EUROCARE. RESULTS: From 1978 to 1989, 5-year relative survival in Europe improved (60%-->63%). The proportion of cured patients increased slightly but significantly (53%-->55%, p = 0.05). For countries with poorer survival at the end of the 1970s the proportion of cured patients increased faster than average, particularly evident in England (49%-->56%) and Scotland (44%-->53%). By contrast, in Finland, Sweden and Germany with organized screening, 5-year survival and cure rate did not improve, but incidence declined to very low levels. CONCLUSIONS: Cervical screening can explain the trends in cervical cancer survival: this identifies premalignant lesions, reduces incidence and selectively prevents less aggressive cancers. The decreased proportion of the latter means that survival does not improve in countries with low incidence of cervical cancer. The increased proportion of cured patients with time shows that survival improvement was not due simply to earlier diagnosis with no patient advantage.;Cancer Causes Control. 1999 Dec.10(6):575-81.;Gatta G1, Capocaccia R, Hakulinen T, Sant M, Verdecchia A, De Angelis G, Micheli A, Berrino F.;Multicenter Study,Research Support, Non-U.S. Gov't,Adolescent,Adult,Age Distribution,Aged,Aged, 80 and over,Europe/epidemiology,Female,Humans,Linear Models,Middle Aged,Neoplasm Invasiveness,Registries,Risk Factors,Survival Analysis,Uterine Cervical Neoplasms/mortality*,Uterine Cervical Neoplasms/pathology,Vaginal Smears;;;;;;;;;;;;;;
1;Variance estimation and confidence intervals for the standardized mortality ratio with application to the assessment of a cancer screening program.;Abstract The effect of a cancer screening program can be measured through the standardized mortality ratio (SMR) statistic. The numerator of the SMR is the observed number of deaths from the screened disease among participants in the screening program, whereas the denominator of the SMR is an estimate of the expected number of deaths in these participants under the assumption that the screening program has no effect. In this article, we propose a variance estimator for the denominator of the SMR when this expected number of deaths is estimated with Sasieni's method. We give both a general formula for this variance as well as formulas for specific disease incidence and survival estimators. We show how this new variance estimator can be used to build confidence intervals for the SMR. We investigate the coverage properties of various types of confidence intervals by simulation and find that intervals that make use of the proposed variance estimator perform well. We illustrate the method by applying it to the Québec Breast Cancer Screening program.;Stat Med. 2011 Nov 10.30(25):3024-37. doi: 10.1002/sim.4334. Epub 2011 Aug 17.;Talbot D1, Duchesne T, Brisson J, Vandal N.;Research Support, Non-U.S. Gov't,Aged,Analysis of Variance*,Breast Neoplasms/diagnosis,Breast Neoplasms/mortality,Computer Simulation/statistics & numerical data,Confidence Intervals*,Data Interpretation, Statistical*,Early Detection of Cancer/statistics & numerical data*,Female,Humans,Incidence,Middle Aged,Quebec/epidemiology,Regression Analysis,Survival Analysis*;;;;;;;;;;;;;;
